00000 0 982 123516128450,LDNK,15,2
00000 0 982 123516128451,LDNK,15,4
00000 0 982 123516128452,LDNK,15,7
00000 0 982 123516128453,LDNK,15,8
00000 0 982 123516128454,LDNK,15,9
00000 0 982 123516128455,LDNK,15,10
00000 0 982 123516128456,LDNK,15,11
00000 0 982 123516128457,LDNK,15,34
00000 0 982 123516128458,LDNK,15,35
00000 0 982 123516128459,LDNK,15,39
00000 0 982 123516128460,LDNK,15,41
00000 0 982 123516128461,LDNK,15,52
00000 0 982 123516128462,LDNK,15,53
00000 0 982 123516128463,LDNK,15,56
00000 0 982 123516128464,LDNK,15,71
00000 0 982 123516128465,LDNK,15,76
00000 0 982 123516128466,LDNK,15,77
00000 0 982 123516128467,LDNK,15,82
00000 0 982 123516128468,LDNK,15,91
00000 0 982 123516128469,LDNK,15,106
00000 0 982 123516128470,LDNK,15,108
00000 0 982 123516128471,LDNK,15,114
00000 0 982 123516128472,LDNK,15,118
00000 0 982 123516128473,LDNK,15,119
00000 0 982 123516128474,LDNK,15,124
00000 0 982 123516128475,LDNK,15,128
00000 0 982 123516128476,LDNK,15,129
00000 0 982 123516128477,LDNK,15,130
00000 0 982 123516128478,LDNK,15,134
00000 0 982 123516128479,LDNK,15,136
00000 0 982 123516128480,LDNK,15,139
00000 0 982 123516128481,LDNK,15,144
00000 0 982 123516128482,LDNK,15,154
00000 0 982 123516128483,LDNK,15,159
00000 0 982 123516128484,LDNK,15,173
