00000 0 982 123516129065,HBCF,15,351
00000 0 982 123516129066,HBCF,15,352
00000 0 982 123516129067,HBCF,15,353
00000 0 982 123516129068,HBCF,15,354
00000 0 982 123516129069,HBCF,15,355
00000 0 982 123516129070,HBCF,15,356
00000 0 982 123516129071,HBCF,15,357
00000 0 982 123516129072,HBCF,15,358
00000 0 982 123516129073,HBCF,15,359
00000 0 982 123516129074,HBCF,15,360
00000 0 982 123516129075,HBCF,15,361
00000 0 982 123516129076,HBCF,15,362
00000 0 982 123516129077,HBCF,15,363
00000 0 982 123516129078,HBCF,15,364
00000 0 982 123516129079,HBCF,15,365
