00000 0 982 123516130552,MVYH,15,241
00000 0 982 123516130553,MVYH,15,242
00000 0 982 123516130554,MVYH,15,243
00000 0 982 123516130555,MVYH,15,244
00000 0 982 123516130556,MVYH,15,245
00000 0 982 123516130557,MVYH,15,246
00000 0 982 123516130558,MVYH,15,247
00000 0 982 123516130559,MVYH,15,248
00000 0 982 123516130560,MVYH,15,249
00000 0 982 123516130561,MVYH,15,250
00000 0 982 123516130562,MVYH,15,251
00000 0 982 123516130563,MVYH,15,252
00000 0 982 123516130564,MVYH,15,253
00000 0 982 123516130565,MVYH,15,254
00000 0 982 123516130566,MVYH,15,255
00000 0 982 123516130567,MVYH,15,256
00000 0 982 123516130568,MVYH,15,257
00000 0 982 123516130569,MVYH,15,258
00000 0 982 123516130570,MVYH,15,259
00000 0 982 123516130571,MVYH,15,260
00000 0 982 123516130572,MVYH,15,261
00000 0 982 123516130573,MVYH,15,262
00000 0 982 123516130574,MVYH,15,263
00000 0 982 123516130575,MVYH,15,264
00000 0 982 123516130576,MVYH,15,265
00000 0 982 123516130577,MVYH,15,266
00000 0 982 123516130578,MVYH,15,267
00000 0 982 123516130579,MVYH,15,268
00000 0 982 123516130580,MVYH,15,269
00000 0 982 123516130581,MVYH,15,270
00000 0 982 123516130582,MVYH,15,271
00000 0 982 123516130583,MVYH,15,272
00000 0 982 123516130584,MVYH,15,273
00000 0 982 123516130585,MVYH,15,274
00000 0 982 123516130586,MVYH,15,275
00000 0 982 123516130587,MVYH,15,276
00000 0 982 123516130588,MVYH,15,277
00000 0 982 123516130589,MVYH,15,278
00000 0 982 123516130590,MVYH,15,279
00000 0 982 123516130591,MVYH,15,280
00000 0 982 123516130592,MVYH,15,281
00000 0 982 123516130593,MVYH,15,282
00000 0 982 123516130594,MVYH,15,283
00000 0 982 123516130595,MVYH,15,284
00000 0 982 123516130596,MVYH,15,285
00000 0 982 123516130597,MVYH,15,286
00000 0 982 123516130598,MVYH,15,287
00000 0 982 123516130599,MVYH,15,288
00000 0 982 123516130600,MVYH,15,289
00000 0 982 123516130601,MVYH,15,290
